op name, kernel name, queue duration (ms), submit duration (ms), exec duration (ms), global size, local size, output size
q-4,kernel_gemm_noshuffle_q4_0_f32,0.120800,3.390500,0.321500,1x768x1,1x128x1,3072x2x1x1
q_pe-4,kernel_rope_norm_f32,0.085800,3.712600,0.003300,1024x2x1,64x1x1,64x16x2x1
Qcur-4,kernel_concat_f32,0.060800,3.716400,0.003100,1024x2x1,64x1x1,192x16x2x1
kv_cmpr_pe-4,kernel_transpose_32_16,0.030800,3.720100,0.004800,512x2x0,1x16x0,576x2x1x1
kv_cmpr_pe-4,kernel_gemm_noshuffle_q4_0_f32,0.253200,3.496700,0.310300,1x144x1,1x128x1,576x2x1x1
kv_cmpr-4,kernel_rms_norm_mul,0.190200,3.807500,0.003900,1024x1x1,512x1x1,512x2x1x1
kv-4,kernel_transpose_32_16,0.164200,3.811900,0.003000,128x2x0,1x16x0,4096x2x1x1
kv-4,kernel_gemm_noshuffle_q4_0_f32,0.151200,3.815400,0.084700,1x1024x1,1x128x1,4096x2x1x1
Vcur_cont-4,kernel_cpy_f32_f32,0.121200,3.900600,0.002900,1024x2x1,64x1x1,128x16x2x1
k_pe-4,kernel_rope_norm_f32,0.090200,3.904100,0.002500,64x2x1,64x1x1,64x1x2x1
node_250,kernel_repeat_f32,0.071200,3.907100,0.002700,1024x2x1,64x1x1,64x16x2x1
Kcur-4,kernel_concat_f32,0.043200,3.910400,0.003100,1024x2x1,64x1x1,192x16x2x1
cache_k_l4 (view),kernel_set_rows_f16_i64,0.339200,3.597600,0.003900,2048x1x1,1024x1x1,3072x4096x1x1
cache_v_l4 (view),kernel_set_rows_f16_i64,0.289200,3.602000,0.003200,2048x1x1,1024x1x1,2048x4096x1x1
node_262,flash_attn_blk_f16,0.227200,3.605700,0.005200,16x1x1,0x0x0,128x16x2x1
node_262,flash_attn_f32_f16,0.183200,3.611500,0.107100,16x16x0,16x1x0,128x16x2x1
node_264,kernel_transpose_32_16,0.151200,3.719200,0.005000,512x2x0,1x16x0,2048x2x1x1
node_264,kernel_gemm_noshuffle_q4_0_f32,0.138200,3.724700,0.320800,1x512x1,1x128x1,2048x2x1x1
ffn_inp-4,kernel_add,0.065200,4.046000,0.013100,128x1x1,64x1x1,2048x2x1x1
ffn_norm-4,kernel_rms_norm_mul,0.038200,4.059600,0.005300,2048x1x1,1024x1x1,2048x2x1x1
ffn_moe_logits-4,kernel_mul_mm_f32_f32_l4_lm,0.155800,3.931400,0.456800,128x1x1,128x1x1,64x2x1x1
ffn_moe_probs-4,kernel_soft_max_4,0.097800,4.388800,0.004100,128x1x1,64x1x1,64x2x1x1
ffn_moe_argsort-4,kernel_argsort_f32_i32,0.075800,4.393400,0.012000,64x2x1,64x1x1,64x2x1x1
ffn_moe_weights-4,kernel_get_rows_f32,0.054800,4.405900,0.003000,6x2x1,1x1x1,1x6x2x1
ffn_moe_topk-4,kernel_moe_histogram,0.032800,4.409500,0.002600,64x6x1,64x1x1,6x2x1x1
